#MetaNetX/TSV/enzymes.tsv 1.1
#reac_ID	complex	LB	UB	direction
mnxr103272c3	PSS_ECOLI	-1000	0	RL
mnxr103332c19	APHA_ECOLI;PPB_ECOLI	-1000	0	RL
mnxr103336c3c19	POTE_ECOLI	-1000	1000	B
mnxr103337c3	PAT_ECOLI	0	1000	LR
mnxr103338c3c19	POTA_ECOLI+POTB_ECOLI+POTC_ECOLI+POTD_ECOLI;POTF_ECOLI+POTG_ECOLI+POTH_ECOLI+POTI_ECOLI;YDCS_ECOLI+YDCT_ECOLI+YDCU_ECOLI+YDCV_ECOLI	0	1000	LR
mnxr103339c2b		0	1000	LR
mnxr103339c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr103340c3c19	PLAP_ECOLI;POTE_ECOLI;PUUP_ECOLI	0	1000	LR
mnxr103355c3	PDXH_ECOLI	-1000	0	RL
mnxr103357c3	PDXK_ECOLI	-1000	0	RL
mnxr103358c2b		0	1000	LR
mnxr103358c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr103358c3c19		0	1000	LR
mnxr103361c3	PDXK_ECOLI;PDXY_ECOLI	-1000	0	RL
mnxr103362c3	PDXK_ECOLI	-1000	0	RL
mnxr103364c2b		0	1000	LR
mnxr103364c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr103364c3c19		0	1000	LR
mnxr103368c3	COF_ECOLI;NAGD_ECOLI;YBHA_ECOLI;YIGL_ECOLI	0	1000	LR
mnxr103370c2b		0	1000	LR
mnxr103370c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr103370c3c19		0	1000	LR
mnxr103371c3	KPYK1_ECOLI;KPYK2_ECOLI	0	1000	LR
mnxr103383c3	RUTA_ECOLI+RUTF_ECOLI	0	1000	LR
mnxr103384c2b		0	1000	LR
mnxr103384c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr103385c3c19		-1000	1000	B
mnxr103400c3	NADA_ECOLI	-1000	0	RL
mnxr103402c3	ADH2_ECOLI;TDH_ECOLI	-1000	0	RL
