#SOLVER	GUROBI
#METHOD	
#TOLERANCE	1e-08
#GROWTH	0.876992529900906	BIOMASS_Ec_iML1515_core_75p37M
#GROWTH_SUB	0.876992529900903	BIOMASS_Ec_iML1515_core_75p37M
GDPtex	a
GF6PTA	A
GGGABADr	A
GGGABAH	A
GGPTRCO	A
GGPTRCS	A
GHBDHx	B
GHMT2r	A
GK1	A
GLBRAN2	A
GLCATr	B
GLCDpp	A
GLCNt2rpp	A
GLCNtex	A
GLCP	A
GLCP2	A
GLCRAL	a
GLCRD	a
GLCRt2rpp	a
GLCRtex	a
GLCS1	A
GLCTR1	A
GLCTR2	A
GLCTR3	A
GLCUR1Ptex	a
GLCURt2rpp	a
GLCURtex	a
GLCabcpp	A
GLCptspp	A
GLCt2pp	A
GLCtex_copy1	A
GLCtex_copy2	A
GLDBRAN2	A
GLGC	A
GLNS	A
GLNabcpp	a
GLNtex	a
GLTPD	a
GLU5K	A
GLUABUTt7pp	A
GLUCYS	A
GLUDC	A
GLUDy	A
GLUN	A
GLUNpp	a
GLUPRT	A
GLUR	A
GLUSy	A
GLUTRR	A
GLUTRS	A
GLUabcpp	A
GLUt2rpp	A
GLUt4pp	A
GLUtex	A
GLXCL	A
GLYALDtex	A
GLYALDtpp	A
GLYAT	A
GLYBabcpp	A
GLYBt2pp	A
GLYBt3pp	A
GLYBtex	a
GLYC2Pabcpp	a
GLYC2Ptex	a
GLYC3Pabcpp	A
GLYC3Pt6pp	A
GLYC3Ptex	A
GLYCAt2rpp	A
GLYCAtex	A
GLYCDx	A
GLYCK	A
GLYCK2	A
GLYCL	A
GLYCLTDx	A
GLYCLTDy	A
GLYCLTt2rpp	A
GLYCLTt4pp	A
GLYCLTtex	A
GLYCTO2	A
GLYCTO3	A
GLYCTO4	A
GLYCtex	A
GLYCtpp	A
GLYK	A
GLYOX	A
GLYOX3	A
GLYt2pp	A
GLYt4pp	A
GLYtex	A
GLYtpp	A
GMAND	B
GMHEPAT	A
GMHEPK	A
GMHEPPA	A
GMPR	A
GMPS	A
GMPS2	A
GMPtex	a
GND	A
GNK	A
GNP	A
GOFUCR	B
GP4GH	B
GPDDA1	a
GPDDA1pp	a
GPDDA2	A
GPDDA2pp	A
GPDDA3	a
GPDDA3pp	a
GPDDA4	A
GPDDA4pp	A
GPDDA5	a
GPDDA5pp	a
GRTT	A
GRXR	A
GSNK	A
GSNt2pp	A
GSNt3pp	A
GSNtex	A
GSPMDA	A
